title;director;productionYear;actor;actress
Silence;;2016;David Webb;Yoriko Dôguchi
ITV Playhouse;James Cameron;1967;Leslie Anderson;Verity Bargate
Screenplay;James Cameron;1979;Frank Crompton;Naomi Buch
One Flew Over the Cuckoo's Nest;Milos Forman;1975;Jack Nicholson;Louise Fletcher
Hair;;1979;John Savage;Beverly D'Angelo
Amadeus;Milos Forman;1984;Jeffrey Jones;Elizabeth Berridge
The People vs. Larry Flynt;Milos Forman;1996;Richard Paul;
2001: A Space Odyssey;Stanley Kubrick;1968;Keir Dullea;Penny Brahms
A Clockwork Orange;Stanley Kubrick;1971;Malcolm McDowell;
Barry Lyndon;;1975;David Berglas;
Eyes Wide Shut;Stanley Kubrick;;Chris Isaak;Clark Hayes
Unforgiven;Clint Eastwood;1992;Gene Hackman;Frances Fisher
The Bridges of Madison County;Clint Eastwood;1995;Art Breese;
Million Dollar Baby;;2004;Morgan Freeman;Hilary Swank
Gran Torino;Clint Eastwood;2008;Bill Gerber;Geraldine Hughes
Annie Hall;Woody Allen;1977;Gary Allen;Shelley Duvall
Manhattan;Woody Allen;1979;;Mariel Hemingway
Hannah and Her Sisters;Woody Allen;1986;Paul Bates;Mia Farrow
Crimes and Misdemeanors;;1989;Alan Alda;Mia Farrow
Twin Peaks;David Lynch;1990;Dana Ashbrook;Sherilyn Fenn
Twin Peaks: Fire Walk with Me;David Lynch;1992;Dana Ashbrook;Peggy Lipton
Mulholland Dr.;David Lynch;2001;Dan Hedaya;
Inland Empire;;2006;Ian Abercrombie;Karen Baird
Lock, Stock and Two Smoking Barrels;Guy Ritchie;1998;Vinnie Jones;Emma Buckley
Snatch;Guy Ritchie;2000;Dennis Farina;Teena Collins
Sherlock Holmes;Guy Ritchie;;Robert Downey Jr.;Jenny Beavan
The Man from U.N.C.L.E.;Guy Ritchie;;Giorgio Antonini;Simona Caparrini
El Mariachi;;1992;Carlos Gallardo;María Castillo
Spy Kids 2: Island of Lost Dreams;;2002;Roy Burger;Angela Lanza
Sin City: A Dame to Kill For;Robert Rodriguez;2014;;Jessica Bradley
Planet Terror;Robert Rodriguez;2007;Naveen Andrews;
The Lady Vanishes;;1938;Emile Boreo;Mary Clare
Vertigo;Alfred Hitchcock;1958;Jack Ano;
North by Northwest;Alfred Hitchcock;1959;Cary Grant;Eva Marie Saint
Psycho;Alfred Hitchcock;1960;Martin Balsam;Janet Leigh
Fargo;Joel Coen;;William H. Macy;Frances McDormand
A Serious Man;Joel Coen;2009;Scott Thompson Baker;Katherine Borowitz
Inside Llewyn Davis;Joel Coen;2013;Justin Timberlake;Robin Bartlett
The Ballad of Buster Scruggs;Joel Coen;2018;James 'Scotty' Augare;Sylvie Mortenson
Hellboy;Guillermo del Toro;2004;John Hurt;Selma Blair
Pan's Labyrinth;Guillermo del Toro;2006;Reyes Abades;Asun Arretxe
Pacific Rim;Guillermo del Toro;2013;David Arnott;Cathy Cavadini
The Shape of Water;Guillermo del Toro;2017;Glenn Miller;Robin D. Cook
Chinatown;Roman Polanski;1974;Jack Nicholson;Fritzi Burr
The Tenant;Roman Polanski;;Bruno de Keyzer;Florence Blot
The Ghost Writer;Roman Polanski;2010;Denis Behnke;Desirée Erasmus
Carnage;Roman Polanski;2011;Pascal Delaunay;
The Deadly Invention;Karel Zeman;1958;Arnost Navrátil;Jana Zatloukalová
The Outrageous Baron Munchausen;Karel Zeman;1962;;
Bláznova kronika;Karel Zeman;1964;Jiri Budin;Eva Senková
Na komete;Karel Zeman;;;Zdena Bronislavská
Bound;;;Joe Pantoliano;Gina Gershon
The Matrix;Lilly Wachowski;1999;Keanu Reeves;Carrie-Anne Moss
The Matrix Reloaded;Lilly Wachowski;2003;Keanu Reeves;Jada Pinkett Smith
Cloud Atlas;Lilly Wachowski;2012;Stefan Arndt;Doona Bae
House of 1000 Corpses;Rob Zombie;2003;Chad Bannon;Karen Black
Halloween;Rob Zombie;2007;Malcolm McDowell;Sybil Danning
The Devil's Rejects;Rob Zombie;2005;William Forsythe;P.J. Soles
Grindhouse;Rob Zombie;2007;Naveen Andrews;Rose McGowan
The Rock;Michael Bay;1996;Nicolas Cage;Vanessa Marcil
Armageddon;Michael Bay;1998;John Denver;Liv Tyler
Transformers: Revenge of the Fallen;Michael Bay;2009;Ben Hernandez Bray;
Transformers: Age of Extinction;Michael Bay;2014;Kelsey Grammer;Jody Haselbarth
The Shawshank Redemption;Frank Darabont;1994;Stephen King;Gundula Janowitz
The Green Mile;Frank Darabont;1999;Stephen King;Bonnie Hunt
The Mist;Frank Darabont;2007;Julio Cesar Cedillo;Marcia Gay Harden
The Walking Dead;Frank Darabont;2010;;
Ball Lightning;Ladislav Smoljak;1979;Boris Halmi;Alexandra Korytová
Jára Cimrman Lying, Sleeping;Ladislav Smoljak;1983;Petr Brukner;Linda Drevikovská
Dissolved and Effused;Ladislav Smoljak;1985;Milan Konecný;Miloslava Ebrová
An Uncertain Season;Ladislav Smoljak;;Petr Capek;Drahomíra Fialková
Breaking the Waves;;1996;Robby Müller;Katrin Cartlidge
Dancer in the Dark;Lars von Trier;2000;Joel Grey;Catherine Deneuve
Dogville;Lars von Trier;2003;;Holley Chant
Melancholia;Lars von Trier;2011;James Cagnard;Charlotte Gainsbourg
